[];[];[];[s];[�C];[m/s];[kW/m2];[kW/m2];[kW/m2];[�/kWh]
[Computed];[Computed];[Computed];[Computed];[Computed];[Computed];[Computed];[Computed];[Computed];[Measured]
Date;Start_date;End_date;Epoch_time;Ambient_temperature;Wind_speed;Direct_sun_power;Diffuse_sun_power;Direct_sun_power_vertical;Spot_price
2018-01-01 00:00:00;2018-01-01 00:00:00;2018-01-01 00:59:59;1514764800;5;3.7;0;0;0;2.52222998
2018-01-01 01:00:00;2018-01-01 01:00:00;2018-01-01 01:59:59;1514768400;4.9;3.4;0;0;0;2.388600098
2018-01-01 02:00:00;2018-01-01 02:00:00;2018-01-01 02:59:59;1514772000;5;3.5;0;0;0;2.454560059
2018-01-01 03:00:00;2018-01-01 03:00:00;2018-01-01 03:59:59;1514775600;5;3.2;0;0;0;2.828860107
2018-01-01 04:00:00;2018-01-01 04:00:00;2018-01-01 04:59:59;1514779200;5;3.5;0;0;0;3.198550049
2018-01-01 05:00:00;2018-01-01 05:00:00;2018-01-01 05:59:59;1514782800;5.6;3.5;0;0;0;3.227590088
2018-01-01 06:00:00;2018-01-01 06:00:00;2018-01-01 06:59:59;1514786400;5.8;5;0;0;0;3.535340088
2018-01-01 07:00:00;2018-01-01 07:00:00;2018-01-01 07:59:59;1514790000;5.2;2.3;0;0;0;3.304929932
2018-01-01 08:00:00;2018-01-01 08:00:00;2018-01-01 08:59:59;1514793600;5.1;1.4;0;0;0;2.911050049
2018-01-01 09:00:00;2018-01-01 09:00:00;2018-01-01 09:59:59;1514797200;5.2;2.5;0.000927825729039445;0.00176822063115338;0.0225953311877194;2.517090088
2018-01-01 10:00:00;2018-01-01 10:00:00;2018-01-01 10:59:59;1514800800;6.1;4.5;0.0140316996613679;0.0179863327005586;0.120972464234521;2.527070068
2018-01-01 11:00:00;2018-01-01 11:00:00;2018-01-01 11:59:59;1514804400;6.6;5.2;0.010480200786798;0.0141798363094099;0.0640784831885543;2.385030029
2018-01-01 12:00:00;2018-01-01 12:00:00;2018-01-01 12:59:59;1514808000;6.4;6.9;0.0181800235626846;0.0328893092839415;0.10234565960572;1.803180054
2018-01-01 13:00:00;2018-01-01 13:00:00;2018-01-01 13:59:59;1514811600;6;6;0.00682033234778465;0.00974580551485554;0.0435877694376762;1.626599976
2018-01-01 14:00:00;2018-01-01 14:00:00;2018-01-01 14:59:59;1514815200;6.2;6.3;0.00303538858910811;0.00458404141621305;0.0295546220350311;1.62822998
2018-01-01 15:00:00;2018-01-01 15:00:00;2018-01-01 15:59:59;1514818800;6.5;6.3;0.000557079363936627;0.00107669199135455;0.0234903979835031;2.333590088
2018-01-01 16:00:00;2018-01-01 16:00:00;2018-01-01 16:59:59;1514822400;5.6;6.8;0;0;0;3.221850098
2018-01-01 17:00:00;2018-01-01 17:00:00;2018-01-01 17:59:59;1514826000;5.8;5.5;0;0;0;3.403939941
